phi1,phi2,phi3,theta1,theta2,theta3,result,temperature
83,107,122,26,105,77,-2.2027452455342655,"(array([ 83, 107, 122]), array([ 26, 105,  62]), -2.617448470453539, inf)"
83,107,122,26,105,72,-2.8676957147322617,"(array([ 83, 107, 122]), array([ 26, 105,  62]), -2.617448470453539, inf)"
83,107,122,26,105,67,-2.3231691159561665,"(array([ 83, 107, 122]), array([ 26, 105,  62]), -2.617448470453539, inf)"
83,107,122,26,105,62,-2.617448470453539,"(array([ 83, 107, 122]), array([ 26, 105,  62]), -2.617448470453539, inf)"
83,107,122,26,105,57,-2.561413566240936,"(array([ 83, 107, 122]), array([ 26, 105,  62]), -2.617448470453539, inf)"
83,107,122,26,105,52,-2.4567558270117784,"(array([ 83, 107, 122]), array([ 26, 105,  62]), -2.617448470453539, inf)"
83,107,122,26,105,47,-2.6428315212006788,"(array([ 83, 107, 122]), array([ 26, 105,  62]), -2.617448470453539, inf)"
83,107,122,26,105,42,-2.4396574936789537,"(array([ 83, 107, 122]), array([ 26, 105,  62]), -2.617448470453539, inf)"
83,107,122,26,105,37,-2.6096638936728147,"(array([ 83, 107, 122]), array([ 26, 105,  62]), -2.617448470453539, inf)"
83,107,122,26,105,32,-2.516716245074124,"(array([ 83, 107, 122]), array([ 26, 105,  62]), -2.617448470453539, inf)"
83,107,122,26,105,27,-2.493880244676171,"(array([ 83, 107, 122]), array([ 26, 105,  62]), -2.617448470453539, inf)"
83,107,122,26,105,22,-2.6549566483887435,"(array([ 83, 107, 122]), array([ 26, 105,  62]), -2.617448470453539, inf)"
83,107,122,26,105,17,-2.3741574819756277,"(array([ 83, 107, 122]), array([ 26, 105,  62]), -2.617448470453539, inf)"
83,107,122,26,105,12,-2.6901491169850154,"(array([ 83, 107, 122]), array([ 26, 105,  62]), -2.617448470453539, inf)"
83,107,122,26,105,7,-2.481001638717141,"(array([ 83, 107, 122]), array([ 26, 105,  62]), -2.617448470453539, inf)"
83,107,122,26,105,2,-2.462884413510547,"(array([ 83, 107, 122]), array([ 26, 105,  62]), -2.617448470453539, inf)"
